,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
1621,460.0,470.0,1520.0,520.0,113.26167531017003,61.75352113834617,50.0,16.523128241313763,149.3843587934312,6.730726465571865,5.092290586228746,5.929206820720244
1622,460.0,470.0,1520.0,520.0,137.06634406329474,86.89594672481785,50.0,14.89532164276325,159.41480133076155,12.4,7.2,6.885823751293043
1623,460.0,470.0,1590.0,550.0,241.28074944637697,195.6335415128825,50.0,9.78732916974235,188.4389235854804,12.4,7.2,9.61267083025765
1624,460.0,470.0,1520.0,520.0,162.6736036206767,81.86011583743286,50.0,15.813988416256713,151.41840090516916,12.4,7.2,5.9488342986452745
1625,460.0,470.0,1579.0115622098665,545.2906695185142,255.22081197775958,184.74987892961101,50.0,10.667448242470117,183.72089269135225,12.4,7.2,9.187787037406846
1626,460.0,470.0,1449.4321491310518,493.11357017378964,111.05486316580973,81.03657544387316,50.0,12.690471754814695,165.64100175669452,8.84908561390317,5.698171227806342,7.426371579145243
1627,460.0,470.0,1465.0,490.0,145.0,113.0,50.0,10.8044115414522,176.9948099512327,9.5,6.2,7.702076019506918
1628,460.0,470.0,1520.0,524.3415055351779,119.89281771256938,84.20980664221352,50.0,12.150227896632385,166.47320442814234,11.952223763920996,7.041961328442705,7.2
1629,460.0,470.0,1520.0,516.6193196927727,172.3515645775625,87.74644897695795,50.0,15.081676189247045,155.84517007680682,12.4,7.2,6.152130613825228
1630,460.0,470.0,1520.0,520.0,135.2626041081251,88.54283972736404,50.0,14.66789356145925,161.14011780961948,12.4,7.2,7.034828356285318
1631,460.0,470.0,1520.0,520.0,176.61519588427083,87.83508395040178,50.0,15.21649160495982,154.90379897106772,12.4,7.2,5.998625699586682
1632,460.0,470.0,1590.0,550.0,156.26818708025334,156.21932739044337,50.0,10.2,185.0,12.4,7.2,9.2
1633,460.0,470.0,1525.3170768624798,526.8989560223142,123.1393736133885,87.278747226777,50.0,11.770870990482637,168.3672483360662,12.4,7.2,7.351916481785134
1634,460.0,470.0,1520.0,520.0,143.5693197382997,80.9584471954655,50.0,15.715262053959526,153.1945637285829,12.4,7.2,6.348621412923069
1635,460.0,470.0,1536.803121374369,531.0011147765604,125.60066886593621,92.20133773187243,50.0,11.491924195193896,171.32080263912346,12.4,7.2,7.680089182124829
1636,460.0,470.0,1520.0,503.90695892880905,122.0,85.0,50.0,12.790595067450285,166.06253150794706,12.4,7.2,7.481240547615879
1637,460.0,470.0,1465.0,490.0,139.68980516643782,106.85135335061223,50.0,11.554606634243045,175.04361242974025,9.248464455252318,5.920516061391465,7.727948393860854
1638,460.0,470.0,1441.558534062781,494.6882931874438,104.68067858798338,77.36897177542717,50.0,13.800507639964028,161.0598031626911,9.03117068125562,6.0124682725022485,7.7
1639,460.0,470.0,1520.0,520.0,129.3979991138432,93.89747906996924,50.0,13.928443366528057,166.74973997806302,12.4,7.2,7.51929572537817
1640,460.0,470.0,1580.6818149988765,546.0064921423757,261.95454099842715,189.42531935526503,50.0,10.345454800089877,185.34090749943826,12.4,7.2,9.294155671367584
1641,460.0,470.0,1520.0,520.0,138.05079268911658,70.9946480864533,50.0,16.525133797838667,149.37433101080666,10.554276481879654,6.511764111887329,5.868716550540333
1642,460.0,470.0,1520.0,513.7776269053452,108.48894923786195,79.93335596419823,50.0,13.8,163.31111865473275,9.528901713045663,6.186671192839645,7.293335596419823
1643,460.0,470.0,1520.0,520.0,131.7588266638025,91.74194087218034,50.0,14.226112927175096,164.99232464017174,12.4,7.2,7.324270840816316
1644,460.0,470.0,1520.0,520.0,175.4459202105867,88.27424937460235,50.0,15.148197340352889,155.4570822910039,12.4,7.2,6.054849874920469
1645,460.0,470.0,1520.0,520.0,118.6474756623847,62.124560302804426,50.0,16.74688599242989,148.26557003785055,7.283431611659132,5.2921270416356085,5.813278501892528
1646,460.0,470.0,1520.0,521.7707333539656,116.83317336634501,68.85366676982814,50.0,15.064681313113686,154.72878674506939,8.58946535767944,5.779122675744876,6.295805339110376
1647,460.0,470.0,1449.929095812602,493.0141808374796,111.53193198009798,81.35462132006532,50.0,12.716312982255307,165.78014682752857,8.841134466998367,5.682268933996734,7.438298299502449
1648,460.0,470.0,1442.621729163312,494.4756541673376,104.51685999677954,76.57303749798722,50.0,13.94756541673376,161.0486916653248,8.958052333387007,5.916104666774015,7.710486916653248
1649,460.0,470.0,1520.0,509.4962082437528,110.20151670249889,80.57556876343709,50.0,13.8,163.52518958781235,9.892822299281015,6.3151137526874175,7.3575568763437085
1650,460.0,470.0,1520.0,520.0,113.8382067744662,78.45314836457213,50.0,14.273938084037491,160.63030957981255,9.619765186818258,6.21874065417115,6.963030957981255
1651,460.0,470.0,1450.9008726995291,492.8198254600942,120.74950104319004,91.56932650328422,50.0,12.604688294460276,167.41259343567978,9.218017453990582,6.087206981596233,7.7
1652,460.0,470.0,1461.0177496469482,490.7964500706103,138.15052939275103,106.94697946336139,50.0,11.023006019770897,174.76993980229105,9.420354992938966,6.168141997175586,7.620354992938966
1653,460.0,470.0,1465.0,490.0,143.30511775447093,111.03750476833477,50.0,11.040851687522553,176.3755696990156,9.41971610415915,6.110795671287944,7.7089204328712055
1654,460.0,470.0,1552.5265105189133,533.9399330795343,131.11130879582925,105.36395984772058,50.0,11.966607361251228,176.96996653976714,12.4,7.2,8.450530210378266
1655,460.0,470.0,1459.169589711255,491.166082057749,120.40280612280478,86.50175382675297,50.0,13.196818664985258,168.36748511915138,8.693286564619921,5.386573129239841,7.660070153070119
1656,460.0,470.0,1590.0,550.0,143.5707313572174,131.42682839304348,50.0,10.2,185.0,12.4,7.2,9.2
1657,460.0,470.0,1451.849248535764,492.63015029284725,122.38070748151392,93.01085777436114,50.0,13.289045087854166,167.10954912145834,9.236984970715278,6.094793988286112,8.079175953144444
1658,460.0,470.0,1456.1223924180174,491.7755215163965,129.7305149589899,99.50603647538642,50.0,13.032656454918957,169.67343545081042,9.322447848360348,6.128979139344139,8.215916557376556
1659,460.0,470.0,1520.0,523.2441142014579,123.4047086388337,89.21412591650109,50.0,12.461883455533478,168.05353147912527,12.4,7.2,7.4107062958250545
1660,460.0,470.0,1556.4292528772025,538.0104474561438,135.01044745614374,113.62298440351624,50.0,11.015289572982224,176.3675221684235,12.4,7.2,8.240835796491499
1661,460.0,470.0,1520.0,520.0,128.55301803500407,66.6528082445733,50.0,16.63367979388567,148.83160103057165,8.953223040186401,5.9147611336288275,5.841580051528583
1662,460.0,470.0,1520.0,490.52710098420346,123.05271009842035,88.15813029526105,50.0,13.721046742618475,166.31588762302545,12.4,7.2,7.8
1663,460.0,470.0,1520.0,502.3096906380175,137.0590411806618,79.98031960644606,50.0,15.250129891471136,156.63386601074345,12.4,7.2,6.7402896946941695
1664,460.0,470.0,1454.6633858665189,492.0673228266962,127.22102369041264,97.28834651710885,50.0,13.120196848008861,168.79803151991138,9.29326771733038,6.1173070869321515,8.169228347728607
1665,460.0,470.0,1520.0,520.0,109.48433165981886,70.72471230793019,50.0,15.106624372432076,156.46687813783961,7.911146356306603,5.564458542522641,6.5902419595316974
1666,460.0,470.0,1563.4859161834097,538.6368212214613,151.47032233599714,145.45573517579942,50.0,11.449949665639254,179.31841061073067,12.4,7.2,8.669718323668194
1667,460.0,470.0,1448.436170846798,493.3127658306404,110.09872401292603,80.39914934195069,50.0,13.83127658306404,163.37446833871917,8.865021266451233,5.730042532902465,7.733744683387192
1668,460.0,470.0,1520.0,520.0,149.0,76.0,50.0,16.4,149.79929479429003,12.4,7.2,5.9
1669,460.0,470.0,1590.0,550.0,232.61596400770588,193.22665666880718,50.0,9.835466866623856,188.03777611146788,12.4,7.2,9.564533133376145
1670,460.0,470.0,1446.1088288866163,493.7782342226767,107.86447573115171,78.90965048743448,50.0,13.877823422267673,162.44353155464654,8.902258737814138,5.804517475628276,7.724435315546465
1671,460.0,470.0,1520.0,502.42114640320233,122.0,85.0,50.0,12.853329374087014,165.99649539569788,12.4,7.2,7.501051381290636
1672,460.0,470.0,1520.0,520.0,149.0,76.0,50.0,16.4,149.33930303743819,12.4,7.2,5.9
1673,460.0,470.0,1465.0,490.0,145.0,113.0,50.0,12.387276100391787,175.13261635248026,9.5,6.2,8.446953459007899
1674,460.0,470.0,1590.0,550.0,167.81371121848008,175.22603089402224,50.0,10.195479382119554,185.03767181567036,12.4,7.2,9.204520617880444
1675,460.0,470.0,1574.226704160123,543.2400160686242,246.60806748822145,175.93206909508385,50.0,11.13226302444519,180.98668809149888,12.4,7.2,8.92120208892114
1676,460.0,470.0,1564.425022622816,539.0392954097782,228.96504072106873,157.86897026204656,50.0,12.084426373783591,175.38572721303768,12.4,7.2,8.375108403271176
1677,460.0,470.0,1590.0,550.0,207.68224748839418,161.0971179272136,50.0,9.892685880485242,187.56095099595632,12.4,7.2,9.507314119514756
