,Объем багажника минимальный [л],Объем багажника максимальный [л],Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
0,520.0,520.0,2230.0,520.0,380.0,184.0,70.0,8.1,234.0,5.4,4.0,4.5
1,430.0,430.0,2072.5,520.0,407.0,304.0,55.0,4.9,253.0,17.2,10.8,13.1
2,440.0,440.0,1810.0,520.0,212.0,150.0,70.0,13.1,185.0,12.4,7.2,11.4
3,460.0,470.0,1520.0,520.0,149.0,76.0,50.0,16.4,148.0,12.4,7.2,5.9
4,404.0,404.0,1740.0,460.0,226.0,171.0,55.0,9.0,214.0,12.6,7.1,9.5
5,515.0,515.0,2570.0,520.0,270.0,320.0,78.0,5.3,250.0,6.3,4.3,5.0
6,425.0,425.0,1720.0,460.0,220.0,116.0,55.0,11.9,187.0,8.9,5.2,7.0
7,460.0,460.0,1990.0,510.0,250.0,192.0,80.0,8.6,230.0,12.1,6.8,9.0
8,460.0,470.0,1465.0,475.0,114.0,60.0,50.0,16.8,148.0,6.5,5.0,5.8
9,460.0,460.0,1760.0,510.0,240.0,125.0,70.0,10.7,185.0,11.4,5.9,8.3
10,435.0,435.0,1740.0,460.0,175.0,140.0,65.0,11.6,207.0,11.3,6.4,8.5
11,460.0,470.0,2350.0,520.0,233.0,141.0,75.0,12.5,165.0,16.1,10.4,14.5
12,425.0,425.0,1525.0,460.0,143.0,100.0,55.0,12.1,182.0,9.7,6.0,7.9
13,460.0,460.0,1910.0,510.0,168.0,116.0,80.0,13.7,192.0,11.5,6.2,8.6
14,500.0,500.0,2505.0,520.0,310.0,258.0,80.0,7.4,250.0,12.4,6.3,8.6
15,440.0,440.0,1770.0,460.0,160.0,122.0,70.0,12.4,180.0,12.4,7.2,10.3
16,460.0,470.0,2410.0,535.0,270.0,177.0,80.0,4.2,250.0,14.0,7.6,9.9
17,440.0,440.0,1915.0,500.0,330.0,150.0,63.0,8.9,216.0,7.6,4.4,5.5
18,460.0,470.0,1850.0,520.0,226.0,170.0,59.0,9.6,205.0,10.7,8.1,9.4
19,460.0,460.0,2150.0,480.0,360.0,315.0,80.0,6.3,250.0,18.1,8.2,11.9
20,460.0,460.0,1890.0,520.0,210.0,170.0,63.0,8.2,228.0,8.3,5.3,6.4
21,500.0,500.0,2300.0,520.0,520.0,177.0,70.0,4.7,250.0,12.4,10.2,14.4
22,500.0,500.0,2600.0,520.0,270.0,177.0,80.0,4.8,250.0,11.9,6.6,8.6
23,440.0,440.0,1810.0,520.0,215.0,145.0,70.0,9.6,185.0,12.4,7.2,9.2
24,500.0,500.0,2475.0,580.0,390.0,306.0,88.0,6.8,250.0,16.3,8.2,11.2
25,520.0,520.0,2235.0,520.0,360.0,143.0,70.0,9.6,212.0,5.3,4.1,4.5
26,460.0,470.0,2072.5,520.0,226.0,168.0,55.0,9.6,205.0,11.2,8.7,9.2
27,440.0,440.0,2005.0,480.0,290.0,228.0,63.0,9.6,205.0,12.4,8.7,10.7
28,520.0,520.0,2220.0,560.0,490.0,367.0,70.0,5.3,250.0,15.5,7.2,10.3
29,460.0,460.0,1950.0,520.0,300.0,143.0,61.0,9.3,210.0,5.7,4.1,4.7
30,460.0,460.0,1730.0,490.0,174.0,129.0,70.0,13.3,184.0,11.8,6.4,8.8
31,460.0,470.0,2720.0,520.0,313.0,194.0,92.0,9.6,185.0,18.2,11.1,13.7
32,480.0,480.0,2100.0,540.0,550.0,177.0,60.0,4.1,250.0,11.1,6.7,8.3
33,460.0,470.0,1590.0,550.0,167.0,175.0,50.0,10.2,185.0,12.4,7.2,9.2
34,430.0,430.0,2072.5,520.0,407.0,310.0,48.0,5.1,253.0,12.4,7.2,9.2
35,440.0,440.0,1930.0,500.0,300.0,231.0,63.0,6.5,250.0,12.8,6.9,9.1
36,500.0,500.0,2510.0,520.0,310.0,258.0,80.0,7.5,250.0,12.6,6.4,8.7
37,520.0,520.0,2270.0,500.0,407.0,305.0,70.0,5.7,241.0,14.7,9.4,12.4
38,440.0,440.0,1810.0,460.0,212.0,150.0,70.0,10.1,193.0,12.4,7.2,10.5
39,400.0,400.0,1840.0,500.0,170.0,144.0,60.0,9.9,200.0,12.4,7.2,9.5
40,520.0,520.0,2335.0,520.0,600.0,313.0,70.0,5.5,250.0,6.5,4.8,5.4
41,520.0,520.0,2475.0,505.0,270.0,381.0,70.0,4.7,250.0,7.1,5.8,6.3
42,460.0,470.0,1520.0,520.0,149.0,76.0,50.0,16.4,150.0,12.4,7.2,5.9
43,460.0,470.0,2810.0,520.0,261.0,178.0,88.0,12.6,175.0,15.8,10.0,12.2
44,460.0,460.0,2165.0,520.0,400.0,306.0,63.0,5.5,250.0,14.1,7.1,9.7
45,460.0,470.0,2560.0,520.0,188.0,175.0,69.0,9.6,205.0,12.4,7.2,9.2
46,440.0,440.0,1810.0,570.0,181.0,130.0,70.0,11.3,181.0,12.4,7.2,9.5
47,460.0,470.0,2650.0,520.0,255.0,177.0,92.0,12.1,170.0,16.6,10.6,14.7
48,404.0,404.0,1460.0,520.0,145.0,105.0,58.0,11.5,171.0,10.4,7.1,9.2
49,377.0,377.0,2072.5,520.0,221.0,160.0,50.0,9.6,215.0,15.0,8.0,9.2
50,530.0,530.0,2460.0,520.0,270.0,177.0,68.0,4.0,250.0,12.7,6.8,8.9
51,460.0,460.0,2080.0,510.0,245.0,192.0,80.0,9.5,220.0,13.8,7.8,10.3
52,415.0,415.0,1630.0,530.0,144.0,90.0,60.0,11.7,173.0,12.4,7.2,8.1
53,435.0,435.0,1605.0,460.0,165.0,116.0,65.0,11.3,198.0,10.2,5.9,7.8
54,460.0,460.0,2035.0,510.0,305.0,211.0,80.0,7.7,235.0,15.8,7.6,11.0
55,520.0,520.0,2380.0,520.0,400.0,306.0,70.0,5.9,250.0,10.9,6.5,8.1
56,520.0,520.0,2430.0,520.0,270.0,177.0,70.0,4.6,250.0,11.8,6.6,8.6
57,440.0,440.0,1700.0,460.0,165.0,115.0,70.0,9.6,170.0,12.4,7.2,9.2
58,440.0,440.0,1700.0,460.0,165.0,115.0,70.0,11.8,176.0,12.4,7.2,10.7
59,460.0,470.0,2850.0,520.0,240.0,99.0,92.0,9.6,145.0,12.3,8.3,10.7
60,460.0,460.0,1880.0,490.0,310.0,218.0,70.0,8.9,219.0,16.0,7.1,10.6
61,520.0,520.0,2230.0,560.0,400.0,197.0,70.0,7.8,232.0,8.8,5.4,6.7
62,415.0,470.0,2510.0,520.0,313.0,194.0,71.0,11.6,180.0,18.1,11.0,13.7
63,520.0,520.0,2190.0,560.0,450.0,333.0,70.0,5.8,250.0,16.3,7.9,10.9
64,460.0,460.0,2170.0,520.0,500.0,231.0,61.0,6.7,240.0,9.7,5.7,7.2
65,520.0,520.0,2220.0,560.0,390.0,306.0,70.0,6.2,250.0,14.4,6.9,9.7
66,420.0,420.0,1600.0,520.0,230.0,195.0,70.0,6.9,230.0,12.4,6.2,8.8
67,415.0,470.0,2510.0,520.0,318.0,202.0,71.0,11.7,185.0,17.5,10.8,14.2
68,500.0,470.0,2510.0,520.0,255.0,177.0,74.0,14.4,175.0,16.3,10.3,9.2
69,460.0,470.0,2760.0,520.0,318.0,203.0,90.0,10.7,190.0,17.1,10.7,13.1
70,460.0,470.0,2300.0,520.0,240.0,99.0,75.0,16.4,145.0,13.2,9.3,10.7
71,520.0,520.0,2030.0,540.0,230.0,177.0,70.0,9.3,232.0,13.4,6.9,9.3
72,480.0,480.0,2165.0,550.0,450.0,326.0,60.0,4.9,250.0,9.2,5.6,6.9
73,440.0,440.0,2060.0,500.0,245.0,192.0,63.0,8.6,231.0,14.5,8.4,10.6
74,520.0,520.0,2072.5,520.0,290.0,228.0,70.0,7.2,241.0,12.4,8.1,10.2
75,480.0,480.0,1975.0,575.0,220.0,136.0,60.0,8.9,210.0,6.4,4.3,5.1
76,500.0,500.0,2345.0,535.0,345.0,238.0,85.0,8.2,243.0,17.2,9.1,12.1
77,460.0,460.0,1950.0,520.0,350.0,177.0,61.0,7.9,230.0,6.0,4.1,4.8
78,480.0,480.0,1960.0,470.0,240.0,184.0,85.0,9.5,196.0,17.8,8.8,9.2
79,460.0,470.0,2760.0,520.0,348.0,220.0,90.0,10.7,190.0,17.1,10.7,13.1
80,460.0,470.0,2510.0,520.0,313.0,194.0,75.0,9.6,185.0,18.2,11.1,13.7
81,430.0,430.0,1770.0,495.0,176.0,135.0,50.0,9.6,204.0,11.7,6.5,8.4
82,440.0,440.0,2050.0,480.0,237.0,186.0,63.0,9.6,205.0,12.4,8.7,10.7
83,440.0,440.0,1940.0,480.0,237.0,186.0,63.0,9.6,205.0,11.8,8.1,9.8
84,500.0,470.0,2510.0,520.0,240.0,115.0,74.0,15.1,150.0,13.1,9.0,11.0
85,435.0,435.0,1825.0,460.0,245.0,192.0,65.0,8.8,231.0,12.3,6.0,8.6
86,415.0,470.0,2510.0,520.0,373.0,165.0,71.0,11.5,170.0,12.4,7.9,9.5
87,515.0,515.0,2575.0,520.0,270.0,177.0,78.0,4.4,250.0,11.4,6.2,8.1
88,460.0,470.0,1465.0,490.0,145.0,113.0,50.0,12.5,175.0,9.5,6.2,8.5
89,500.0,500.0,2490.0,580.0,490.0,367.0,88.0,5.9,250.0,16.9,8.3,11.4
90,435.0,435.0,1650.0,460.0,150.0,102.0,65.0,12.7,195.0,9.4,5.6,7.4
91,435.0,435.0,1765.0,460.0,190.0,150.0,65.0,10.8,214.0,13.8,6.5,9.4
92,440.0,440.0,1870.0,520.0,310.0,218.0,70.0,7.6,222.0,19.0,8.5,12.6
93,460.0,470.0,2072.5,520.0,118.0,82.0,50.0,15.2,155.0,12.5,6.8,9.0
94,460.0,460.0,1830.0,510.0,240.0,184.0,70.0,11.0,203.0,15.0,8.4,11.4
95,460.0,460.0,2045.0,520.0,400.0,197.0,61.0,7.4,235.0,8.6,5.1,6.4
96,425.0,425.0,1605.0,460.0,164.0,129.0,64.0,12.7,188.0,12.9,7.5,10.0
97,480.0,480.0,1960.0,455.0,240.0,184.0,85.0,11.5,190.0,17.4,9.6,9.2
98,460.0,470.0,1850.0,485.0,218.0,163.0,59.0,9.6,205.0,10.7,7.6,9.0
99,500.0,500.0,2695.0,585.0,270.0,177.0,80.0,4.6,250.0,13.2,7.2,9.4
100,440.0,440.0,1840.0,520.0,238.0,165.0,70.0,9.6,190.0,12.4,7.2,9.2
101,480.0,480.0,2000.0,470.0,285.0,197.0,85.0,8.7,205.0,18.7,8.9,9.2
102,460.0,460.0,2040.0,510.0,260.0,188.0,80.0,10.8,224.0,16.8,7.4,11.1
103,530.0,530.0,2345.0,520.0,270.0,265.0,66.0,5.7,250.0,5.3,4.1,4.5
104,530.0,530.0,2340.0,520.0,450.0,340.0,68.0,4.8,250.0,9.3,5.7,6.9
105,500.0,500.0,2235.0,535.0,280.0,193.0,85.0,9.6,225.0,16.0,8.3,11.1
106,460.0,460.0,1780.0,510.0,164.0,129.0,70.0,12.1,190.0,12.8,7.2,9.8
107,440.0,440.0,1920.0,500.0,245.0,192.0,63.0,7.3,240.0,12.8,6.9,9.0
108,480.0,480.0,2030.0,540.0,320.0,143.0,57.0,9.2,212.0,5.7,4.1,4.7
109,515.0,515.0,2540.0,520.0,270.0,265.0,78.0,5.8,250.0,5.7,4.3,4.8
110,435.0,435.0,1650.0,460.0,141.0,100.0,65.0,13.1,191.0,10.2,6.1,7.9
111,520.0,520.0,2325.0,520.0,540.0,258.0,70.0,6.3,250.0,8.0,5.3,6.3
112,460.0,460.0,1920.0,520.0,210.0,170.0,63.0,8.9,226.0,8.9,5.1,6.5
113,460.0,460.0,2025.0,510.0,245.0,192.0,80.0,9.9,225.0,14.0,6.5,9.5
114,520.0,520.0,2155.0,560.0,400.0,177.0,70.0,8.3,227.0,10.6,6.2,7.8
115,450.0,450.0,1760.0,565.0,176.0,137.0,64.0,9.7,205.0,12.4,7.2,8.3
116,440.0,440.0,2155.0,500.0,410.0,204.0,63.0,7.9,228.0,11.9,6.9,8.7
117,480.0,480.0,2150.0,540.0,560.0,258.0,57.0,5.3,250.0,6.4,4.6,5.2
118,435.0,435.0,1775.0,460.0,190.0,150.0,65.0,10.0,214.0,12.8,7.1,9.5
119,460.0,460.0,1920.0,520.0,210.0,170.0,63.0,8.9,226.0,9.3,5.4,6.8
120,425.0,425.0,1655.0,460.0,152.0,86.0,55.0,16.1,165.0,8.7,5.0,6.9
121,435.0,435.0,1930.0,470.0,320.0,286.0,65.0,6.0,250.0,13.0,6.5,9.1
122,500.0,470.0,2510.0,520.0,240.0,115.0,74.0,9.6,150.0,9.8,7.3,8.2
123,520.0,520.0,2072.5,520.0,488.0,365.0,70.0,5.6,241.0,15.7,10.2,13.1
124,520.0,520.0,2210.0,560.0,390.0,306.0,70.0,6.1,250.0,15.8,7.4,10.5
125,460.0,470.0,2072.5,520.0,59.0,52.0,70.0,9.6,113.0,8.0,5.5,7.1
126,460.0,460.0,2025.0,510.0,250.0,192.0,80.0,9.5,225.0,12.6,6.2,8.8
127,460.0,460.0,1780.0,490.0,230.0,122.0,70.0,13.1,183.0,11.9,6.3,8.8
128,460.0,460.0,2135.0,540.0,350.0,163.0,70.0,8.9,219.0,9.2,5.3,6.7
129,450.0,450.0,2150.0,525.0,400.0,177.0,63.0,4.7,250.0,17.0,9.0,11.9
130,460.0,460.0,1730.0,490.0,165.0,125.0,70.0,13.9,179.0,11.8,6.5,8.9
131,460.0,460.0,2060.0,520.0,250.0,218.0,63.0,7.5,242.0,13.0,7.0,9.2
132,460.0,460.0,2050.0,470.0,580.0,286.0,61.0,6.2,250.0,10.3,5.9,7.5
133,460.0,470.0,1465.0,490.0,126.0,91.0,50.0,13.5,170.0,8.6,5.2,7.8
134,520.0,520.0,2265.0,520.0,310.0,258.0,70.0,6.7,250.0,10.4,6.0,7.6
135,420.0,420.0,2072.5,520.0,108.0,88.0,50.0,9.6,165.0,12.4,7.2,9.2
136,460.0,470.0,1850.0,455.0,218.0,163.0,59.0,9.6,205.0,10.2,7.8,9.0
137,460.0,460.0,2200.0,520.0,440.0,286.0,70.0,6.7,250.0,19.5,9.2,13.0
138,460.0,470.0,2300.0,520.0,240.0,99.0,75.0,9.6,145.0,13.3,8.8,10.4
139,450.0,450.0,2150.0,460.0,400.0,177.0,63.0,4.7,250.0,16.8,11.8,14.7
140,404.0,404.0,1450.0,520.0,140.0,90.0,58.0,12.5,163.0,11.0,6.2,9.2
141,460.0,470.0,1465.0,490.0,126.0,90.0,50.0,13.5,170.0,8.6,5.2,7.8
142,460.0,460.0,1960.0,510.0,222.0,170.0,80.0,9.5,221.0,12.9,6.8,9.3
143,480.0,480.0,2050.0,490.0,290.0,185.0,70.0,10.4,199.0,17.4,8.4,12.1
144,460.0,470.0,2410.0,520.0,201.0,84.0,92.0,9.6,135.0,14.2,9.0,11.1
145,433.0,433.0,2025.0,475.0,343.0,241.0,55.0,7.0,230.0,13.8,7.8,10.0
146,500.0,500.0,2400.0,535.0,400.0,286.0,95.0,7.4,250.0,16.3,8.3,11.5
147,460.0,460.0,1990.0,510.0,260.0,143.0,80.0,11.0,207.0,9.1,5.1,7.0
148,440.0,440.0,2020.0,500.0,390.0,184.0,63.0,7.8,227.0,9.2,5.3,6.7
149,460.0,470.0,1720.0,535.0,152.0,102.0,60.0,9.6,168.0,12.4,7.2,9.9
150,430.0,430.0,2072.5,520.0,415.0,330.0,55.0,4.5,253.0,12.4,7.2,9.2
151,435.0,435.0,1780.0,460.0,280.0,193.0,65.0,7.3,236.0,13.5,6.7,9.2
152,425.0,425.0,1675.0,460.0,152.0,86.0,55.0,9.6,158.0,9.6,5.3,7.3
153,460.0,470.0,1750.0,490.0,145.0,86.0,59.0,10.7,191.0,7.4,4.7,5.8
154,500.0,500.0,2110.0,520.0,275.0,197.0,90.0,10.8,217.0,16.4,7.4,11.0
155,430.0,430.0,1907.0,520.0,392.0,286.0,55.0,5.8,250.0,14.7,10.7,9.2
156,460.0,470.0,1550.0,520.0,137.0,113.0,50.0,9.8,190.0,12.4,7.2,7.2
157,460.0,460.0,1840.0,510.0,165.0,115.0,80.0,12.8,192.0,11.0,6.6,8.7
158,460.0,460.0,1840.0,510.0,152.0,86.0,70.0,18.1,164.0,9.2,5.6,7.4
159,400.0,400.0,1840.0,550.0,159.0,109.0,60.0,11.5,180.0,12.4,7.2,9.8
160,460.0,470.0,2720.0,520.0,294.0,125.0,90.0,9.6,150.0,15.3,11.3,12.8
161,460.0,460.0,1650.0,510.0,145.0,105.0,70.0,12.6,175.0,9.9,6.1,8.0
162,520.0,520.0,2330.0,520.0,540.0,258.0,70.0,6.3,250.0,7.7,5.2,6.1
163,450.0,450.0,1840.0,490.0,179.0,150.0,64.0,11.5,205.0,12.4,7.2,9.1
164,425.0,425.0,1710.0,520.0,231.0,129.0,62.0,9.6,183.0,11.8,9.8,9.2
165,520.0,520.0,2440.0,520.0,270.0,313.0,70.0,5.1,250.0,6.8,4.9,5.6
166,460.0,470.0,1465.0,490.0,126.0,90.0,50.0,13.5,170.0,8.6,5.2,7.8
167,480.0,480.0,2115.0,550.0,350.0,249.0,60.0,5.8,250.0,7.5,5.0,5.9
168,460.0,460.0,2170.0,520.0,500.0,231.0,61.0,6.7,240.0,10.8,6.4,8.0
169,420.0,420.0,2072.5,520.0,409.0,345.0,50.0,5.0,205.0,12.4,7.2,9.2
170,460.0,470.0,2300.0,520.0,313.0,194.0,75.0,9.6,185.0,18.2,11.1,13.7
171,404.0,404.0,1540.0,520.0,190.0,143.0,58.0,9.5,190.0,12.8,6.8,9.2
172,520.0,520.0,2055.0,560.0,250.0,218.0,70.0,7.9,242.0,13.5,7.0,9.4
173,460.0,460.0,2075.0,510.0,290.0,218.0,80.0,7.7,235.0,14.6,8.0,10.8
174,480.0,480.0,2120.0,540.0,400.0,306.0,60.0,5.3,250.0,11.6,6.3,8.2
175,440.0,440.0,2025.0,500.0,245.0,192.0,63.0,7.5,234.0,13.5,7.9,9.9
176,460.0,460.0,1935.0,520.0,250.0,218.0,63.0,7.0,245.0,12.1,6.2,8.4
177,460.0,470.0,1980.0,520.0,213.0,160.0,67.0,9.6,205.0,10.3,7.3,9.2
178,460.0,460.0,1935.0,510.0,190.0,150.0,80.0,10.0,211.0,13.9,6.9,9.8
179,460.0,460.0,1630.0,520.0,137.0,90.0,60.0,12.0,180.0,9.5,6.0,7.2
180,460.0,470.0,1590.0,550.0,147.0,140.0,50.0,10.2,185.0,12.4,7.2,9.2
181,520.0,520.0,2210.0,550.0,407.0,305.0,70.0,5.8,241.0,13.8,9.0,11.8
182,520.0,520.0,2215.0,560.0,320.0,272.0,70.0,6.8,250.0,11.6,6.0,8.1
183,435.0,435.0,1820.0,520.0,175.0,140.0,65.0,9.6,205.0,12.4,7.2,9.2
184,460.0,470.0,2072.5,520.0,98.0,80.0,70.0,9.6,135.0,9.0,5.0,6.0
185,520.0,520.0,2540.0,470.0,610.0,177.0,70.0,4.9,210.0,15.7,10.2,13.1
186,435.0,435.0,1730.0,460.0,190.0,150.0,65.0,9.8,214.0,12.8,7.1,9.5
187,460.0,470.0,2575.0,520.0,450.0,320.0,80.0,5.7,250.0,6.0,7.2,6.8
188,460.0,460.0,2635.0,520.0,270.0,177.0,80.0,4.9,250.0,12.6,7.6,9.4
189,460.0,470.0,1620.0,520.0,141.0,97.0,50.0,12.0,168.0,11.0,7.0,9.0
190,500.0,500.0,2570.0,535.0,490.0,326.0,95.0,6.8,250.0,19.7,10.4,13.8
191,460.0,460.0,2100.0,520.0,580.0,286.0,61.0,6.0,250.0,9.1,5.3,6.7
192,404.0,404.0,1440.0,520.0,160.0,109.0,58.0,11.2,170.0,12.4,7.2,10.0
193,520.0,520.0,2195.0,485.0,271.0,233.0,70.0,7.4,241.0,13.8,9.4,11.8
194,460.0,460.0,2180.0,520.0,400.0,306.0,63.0,5.6,250.0,13.8,7.3,9.7
195,435.0,435.0,1810.0,460.0,190.0,150.0,65.0,10.9,214.0,12.1,6.1,8.6
196,520.0,520.0,2065.0,560.0,300.0,231.0,70.0,7.1,245.0,14.2,7.5,9.9
197,460.0,470.0,2350.0,520.0,233.0,141.0,75.0,12.1,165.0,16.1,10.4,14.5
198,460.0,460.0,2055.0,520.0,400.0,306.0,63.0,5.6,250.0,12.0,6.3,8.4
199,480.0,480.0,2025.0,550.0,450.0,218.0,57.0,6.8,245.0,6.2,4.2,4.9
200,460.0,460.0,2055.0,520.0,400.0,306.0,63.0,5.6,250.0,14.4,6.8,9.6
201,500.0,500.0,2160.0,520.0,315.0,220.0,70.0,7.9,233.0,15.9,7.7,11.1
202,460.0,470.0,1800.0,455.0,194.0,142.0,59.0,9.6,205.0,9.4,7.1,8.4
203,460.0,470.0,1465.0,520.0,122.0,85.0,50.0,13.8,165.0,12.4,7.2,7.8
204,460.0,470.0,3030.0,520.0,329.0,250.0,88.0,10.8,200.0,17.7,11.2,13.5
205,460.0,460.0,1780.0,490.0,240.0,129.0,70.0,12.3,184.0,11.1,5.8,8.1
206,390.0,390.0,2185.0,530.0,450.0,340.0,57.0,5.3,250.0,5.3,6.4,5.9
207,440.0,440.0,2075.0,500.0,300.0,231.0,63.0,7.4,242.0,14.8,8.2,10.6
208,460.0,460.0,1990.0,510.0,190.0,150.0,80.0,12.0,207.0,13.9,6.8,9.7
209,480.0,480.0,2025.0,575.0,270.0,184.0,60.0,7.3,235.0,6.9,4.4,5.3
210,460.0,470.0,1590.0,550.0,275.0,205.0,50.0,9.6,190.0,12.4,7.2,9.8
211,500.0,500.0,2130.0,520.0,305.0,211.0,90.0,9.1,230.0,17.9,8.1,12.1
212,440.0,440.0,2060.0,480.0,290.0,228.0,63.0,9.6,205.0,11.8,8.7,10.2
213,460.0,460.0,2080.0,520.0,270.0,218.0,63.0,7.7,242.0,10.8,6.2,7.9
214,460.0,460.0,2055.0,520.0,400.0,197.0,61.0,7.6,233.0,8.1,5.1,6.2
215,520.0,520.0,2260.0,520.0,250.0,204.0,70.0,8.5,234.0,11.4,6.0,8.0
216,460.0,470.0,2500.0,520.0,233.0,141.0,92.0,9.6,154.0,16.4,11.2,9.2
217,520.0,520.0,2210.0,530.0,407.0,305.0,70.0,5.9,241.0,13.8,9.0,11.8
218,520.0,520.0,2310.0,520.0,350.0,245.0,70.0,6.3,250.0,8.4,5.2,6.4
219,460.0,470.0,2510.0,520.0,343.0,245.0,75.0,9.6,185.0,18.2,11.1,13.7
220,420.0,420.0,2655.0,520.0,400.0,258.0,46.0,5.3,250.0,12.4,7.2,9.2
221,440.0,440.0,1840.0,455.0,238.0,165.0,70.0,9.5,198.0,12.4,7.2,10.8
222,450.0,450.0,2150.0,460.0,400.0,177.0,63.0,5.0,250.0,16.8,11.8,14.7
223,460.0,470.0,2072.5,520.0,132.0,86.0,50.0,11.5,163.0,11.3,6.4,8.3
224,520.0,520.0,2090.0,560.0,270.0,218.0,70.0,7.7,246.0,10.4,5.8,7.5
225,460.0,460.0,1730.0,500.0,165.0,125.0,70.0,14.4,179.0,11.9,7.8,9.9
226,460.0,470.0,2530.0,520.0,373.0,170.0,69.0,13.2,177.0,13.1,9.0,10.5
227,460.0,470.0,1680.0,520.0,160.0,114.0,53.0,11.9,155.0,11.6,7.9,9.3
228,460.0,460.0,1870.0,510.0,168.0,116.0,80.0,12.3,198.0,10.5,6.0,8.1
229,520.0,520.0,2410.0,540.0,270.0,177.0,80.0,3.9,250.0,13.9,7.6,9.9
230,500.0,500.0,2350.0,520.0,400.0,286.0,70.0,7.4,240.0,17.5,8.2,11.9
231,425.0,425.0,1545.0,460.0,141.0,100.0,55.0,14.1,177.0,10.5,6.9,8.7
232,460.0,460.0,2055.0,520.0,400.0,306.0,63.0,5.6,250.0,13.2,6.7,9.1
233,440.0,440.0,1870.0,460.0,235.0,177.0,70.0,9.3,208.0,17.1,7.3,11.3
234,460.0,470.0,1340.0,520.0,90.0,55.0,50.0,9.6,140.0,9.2,5.9,7.3
235,520.0,520.0,2060.0,540.0,340.0,163.0,70.0,8.7,223.0,9.3,5.5,6.9
236,460.0,470.0,2780.0,520.0,314.0,217.0,90.0,9.6,205.0,12.4,7.2,13.9
237,520.0,520.0,2330.0,520.0,380.0,184.0,70.0,8.1,228.0,5.7,4.4,4.9
238,404.0,404.0,1450.0,520.0,140.0,90.0,58.0,12.5,163.0,11.0,6.8,9.2
239,375.0,375.0,2400.0,550.0,400.0,306.0,67.0,5.9,250.0,6.1,6.6,6.4
240,460.0,470.0,1520.0,520.0,106.0,79.0,50.0,13.8,163.0,9.0,6.0,7.2
241,460.0,470.0,2530.0,520.0,373.0,170.0,69.0,12.1,177.0,11.9,7.6,9.2
242,480.0,480.0,2050.0,510.0,310.0,204.0,70.0,7.9,217.0,16.8,8.1,11.6
243,450.0,450.0,1765.0,560.0,191.0,90.0,64.0,13.9,175.0,12.4,7.2,6.8
244,480.0,480.0,1980.0,550.0,380.0,184.0,57.0,7.6,230.0,5.4,3.9,4.4
245,460.0,460.0,2040.0,510.0,260.0,188.0,80.0,10.8,224.0,16.4,7.3,10.9
246,480.0,480.0,1978.0,520.0,271.0,182.0,60.0,9.6,209.0,10.2,7.1,9.2
247,435.0,435.0,1845.0,460.0,260.0,143.0,65.0,10.8,211.0,9.4,4.9,6.9
248,500.0,500.0,2360.0,535.0,320.0,235.0,95.0,8.4,240.0,18.5,9.2,12.6
249,500.0,500.0,2635.0,565.0,270.0,381.0,80.0,4.9,250.0,7.3,5.9,6.4
250,520.0,520.0,2220.0,560.0,390.0,306.0,70.0,6.3,250.0,15.5,7.5,10.4
251,460.0,460.0,2155.0,520.0,500.0,231.0,61.0,6.6,242.0,9.1,5.5,6.8
252,530.0,530.0,2385.0,520.0,270.0,265.0,66.0,5.4,250.0,5.8,4.6,5.0
253,470.0,470.0,1835.0,520.0,218.0,161.0,64.0,8.8,225.0,13.5,7.1,9.5
254,460.0,460.0,2010.0,510.0,222.0,115.0,80.0,13.9,190.0,9.8,5.3,7.3
255,520.0,520.0,2150.0,560.0,300.0,258.0,70.0,6.8,250.0,13.6,7.4,9.7
256,440.0,440.0,1965.0,500.0,300.0,231.0,63.0,7.0,247.0,14.0,7.0,9.6
257,530.0,530.0,2230.0,520.0,400.0,190.0,66.0,7.7,238.0,4.9,3.7,4.2
258,460.0,470.0,2510.0,520.0,313.0,205.0,75.0,9.6,185.0,18.2,11.1,13.7
259,460.0,460.0,1760.0,490.0,240.0,125.0,70.0,12.3,180.0,11.5,5.9,8.3
260,500.0,500.0,2610.0,520.0,270.0,177.0,82.0,4.8,250.0,11.9,6.6,8.6
261,460.0,460.0,2150.0,540.0,345.0,238.0,70.0,6.9,250.0,17.5,8.5,11.8
262,460.0,470.0,2720.0,520.0,294.0,125.0,90.0,16.8,150.0,15.4,10.6,12.4
263,480.0,480.0,2070.0,450.0,280.0,197.0,85.0,10.6,198.0,12.4,7.2,9.2
264,460.0,470.0,1800.0,470.0,197.0,150.0,59.0,9.6,205.0,9.0,6.9,8.1
265,460.0,460.0,1950.0,520.0,320.0,143.0,61.0,9.3,210.0,6.8,4.4,5.3
266,460.0,470.0,1915.0,520.0,198.0,150.0,59.0,11.4,195.0,12.1,6.8,8.8
267,460.0,460.0,2090.0,520.0,250.0,218.0,63.0,8.1,236.0,14.4,7.3,9.9
268,430.0,430.0,1655.0,525.0,245.0,150.0,60.0,8.4,200.0,12.4,7.2,9.6
269,500.0,500.0,2335.0,535.0,420.0,286.0,85.0,6.6,250.0,18.6,8.9,12.5
