,Марка,Объем багажника минимальный [л],Объем багажника максимальный [л],Тип кузова,Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
3168,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.2,10.7,14.9
3169,Mitsubishi,,,Внедорожник,2650.0,,236.0,150.0,92.0,12.1,165.0,16.6,10.6,14.7
3170,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.6,10.6,14.7
3171,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.2,11.1,13.7
3172,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.2,11.1,14.5
3173,Mitsubishi,,,Внедорожник,2350.0,,218.0,145.0,75.0,,,,,
3174,Mitsubishi,,,Внедорожник,2350.0,,218.0,145.0,75.0,,,,,
3175,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,21.5,145.0,13.3,8.8,10.4
3176,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,16.4,145.0,13.2,9.3,10.7
3177,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3178,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3179,Mitsubishi,,,Внедорожник,2510.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3180,Mitsubishi,,,Внедорожник,2510.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3181,Mitsubishi,,,Внедорожник,2510.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3182,Mitsubishi,,,Внедорожник,2510.0,,343.0,245.0,75.0,,185.0,18.2,11.1,13.7
3183,Mitsubishi,,,Внедорожник,2510.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3184,Mitsubishi,,,Внедорожник,2510.0,,343.0,245.0,75.0,,185.0,18.2,11.1,13.7
3185,Mitsubishi,,,Внедорожник,2650.0,,218.0,145.0,92.0,,,,,
3186,Mitsubishi,,,Внедорожник,2650.0,,218.0,145.0,92.0,,,,,
3187,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,12.3,8.3,10.7
3188,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,13.8,9.3,11.2
3189,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,16.8,150.0,15.5,10.7,12.5
3190,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,17.3,150.0,15.5,10.7,12.5
3191,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.2,10.7,14.9
3192,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.6,10.6,14.7
3193,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.2,11.1,13.7
3194,Mitsubishi,,,Внедорожник,2720.0,,343.0,245.0,92.0,,185.0,18.2,11.1,13.7
3195,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.2,11.1,14.5
3196,Mitsubishi,,,Внедорожник,2720.0,,343.0,245.0,92.0,,185.0,19.0,11.6,14.5
3197,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,240.0,105.0,71.0,17.0,145.0,13.3,9.1,10.6
3198,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,20.2,150.0,15.3,11.3,12.8
3199,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,15.0,155.0,13.9,9.6,11.2
3200,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,173.0,71.0,12.6,170.0,17.7,11.1,13.6
3201,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,173.0,71.0,10.9,175.0,17.6,10.9,13.5
3202,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,13.2,170.0,13.3,8.7,10.5
3203,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,11.5,170.0,12.4,7.9,9.5
3204,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,313.0,194.0,71.0,11.6,180.0,18.1,11.0,13.7
3205,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,202.0,71.0,11.7,185.0,17.5,10.8,14.2
3206,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,11.7,185.0,17.5,10.8,14.2
3207,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,202.0,71.0,10.0,190.0,18.8,10.9,
3208,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,10.0,190.0,16.9,10.5,12.9
3209,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,313.0,194.0,71.0,9.9,185.0,17.8,10.6,13.3
3210,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,240.0,115.0,90.0,18.2,150.0,13.4,9.2,
3211,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,20.2,150.0,15.3,11.3,12.8
3212,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,16.8,150.0,15.4,10.6,12.4
3213,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,173.0,90.0,12.6,170.0,17.7,11.1,13.6
3214,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,173.0,90.0,10.9,175.0,17.6,10.9,13.5
3215,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,13.8,170.0,13.3,8.8,10.5
3216,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,12.0,170.0,12.1,7.9,9.5
3217,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,313.0,194.0,90.0,13.1,180.0,18.6,11.3,14.0
3218,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,202.0,90.0,12.5,185.0,19.5,11.1,14.2
3219,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,11.7,185.0,17.5,10.8,14.2
3220,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,202.0,90.0,10.7,190.0,17.1,10.7,13.1
3221,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,10.7,190.0,17.1,10.7,13.1
3222,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,313.0,194.0,90.0,11.3,185.0,18.1,10.8,13.5
3223,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,240.0,105.0,71.0,17.0,145.0,13.3,9.1,10.6
3224,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,20.2,150.0,15.3,11.3,12.8
3225,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,15.0,155.0,13.9,9.6,11.2
3226,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,173.0,71.0,12.6,170.0,17.7,11.1,13.6
3227,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,173.0,71.0,10.9,175.0,17.6,10.9,13.5
3228,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,13.2,170.0,13.3,8.7,10.5
3229,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,11.5,170.0,12.4,7.9,9.5
3230,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,313.0,194.0,71.0,11.6,180.0,18.1,11.0,13.7
3231,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,202.0,71.0,11.7,185.0,17.5,10.8,14.2
3232,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,11.7,185.0,17.5,10.8,14.2
3233,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,202.0,71.0,10.0,190.0,18.8,10.9,
3234,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,10.0,190.0,16.9,10.5,12.9
3235,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,313.0,194.0,71.0,9.9,185.0,17.8,10.6,13.3
3236,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,240.0,115.0,90.0,18.2,150.0,13.4,9.2,
3237,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,20.2,150.0,15.3,11.3,12.8
3238,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,16.8,150.0,15.4,10.6,12.4
3239,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,173.0,90.0,12.6,170.0,17.7,11.1,13.6
3240,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,173.0,90.0,10.9,175.0,17.6,10.9,13.5
3241,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,13.8,170.0,13.3,8.8,10.5
3242,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,12.0,170.0,12.1,7.9,9.5
3243,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,313.0,194.0,90.0,13.1,180.0,18.6,11.3,14.0
3244,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,202.0,90.0,12.5,185.0,19.5,11.1,14.2
3245,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,11.7,185.0,17.5,10.8,14.2
3246,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,202.0,90.0,10.7,190.0,17.1,10.7,13.1
3247,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,10.7,190.0,17.1,10.7,13.1
3248,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,313.0,194.0,90.0,11.3,185.0,18.1,10.8,13.5
3249,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,314.0,204.0,90.0,,,,,13.9
3250,Mitsubishi,290.0,1120.0,Внедорожник,2560.0,,294.0,125.0,69.0,,155.0,,,
3251,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,373.0,170.0,69.0,13.2,177.0,13.1,9.0,10.5
3252,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,441.0,190.0,69.0,11.0,185.0,11.4,8.0,9.3
3253,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,373.0,170.0,69.0,12.1,177.0,11.9,7.6,9.2
3254,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,441.0,190.0,69.0,10.2,185.0,11.0,7.4,8.7
3255,Mitsubishi,290.0,1120.0,Внедорожник,2665.0,,329.0,247.0,69.0,10.0,200.0,17.6,11.2,13.4
3256,Mitsubishi,663.0,1790.0,Внедорожник,2740.0,,294.0,125.0,88.0,,155.0,,,
3257,Mitsubishi,663.0,1790.0,Внедорожник,2740.0,,294.0,125.0,88.0,,155.0,,,
3258,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,263.0,177.0,88.0,13.6,175.0,15.9,10.0,12.2
3259,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,267.0,184.0,88.0,,175.0,,,
3260,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,263.0,177.0,88.0,12.6,175.0,15.8,10.0,12.2
3261,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,267.0,184.0,88.0,,175.0,,,
3262,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,,373.0,170.0,88.0,11.1,185.0,11.4,8.0,9.3
3263,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,,373.0,170.0,88.0,10.2,185.0,11.0,7.4,8.7
3264,Mitsubishi,663.0,1790.0,Внедорожник,2650.0,,303.0,190.0,88.0,,180.0,,,
3265,Mitsubishi,663.0,1790.0,Внедорожник,2650.0,,303.0,190.0,88.0,,180.0,,,
3266,Mitsubishi,663.0,1790.0,Внедорожник,2765.0,,329.0,250.0,88.0,10.8,200.0,17.7,11.2,13.5
3267,Mitsubishi,663.0,1790.0,Внедорожник,2765.0,,329.0,238.0,88.0,,200.0,,,
3268,Mitsubishi,215.0,1790.0,Внедорожник,2810.0,700.0,261.0,178.0,88.0,13.6,175.0,15.9,10.0,12.2
3269,Mitsubishi,215.0,1790.0,Внедорожник,2810.0,710.0,261.0,178.0,88.0,12.6,175.0,15.8,10.0,12.2
3270,Mitsubishi,215.0,1790.0,Внедорожник,2910.0,655.0,441.0,200.0,88.0,11.1,185.0,11.4,8.0,8.9
3271,Mitsubishi,215.0,1790.0,Внедорожник,3030.0,870.0,329.0,250.0,88.0,10.8,200.0,17.7,11.2,13.5
3272,Mitsubishi,1081.0,1789.0,Внедорожник,2740.0,610.0,294.0,125.0,88.0,,155.0,,,
3273,Mitsubishi,1081.0,1789.0,Внедорожник,2740.0,605.0,294.0,125.0,88.0,,155.0,,,
3274,Mitsubishi,,,Внедорожник,2740.0,685.0,294.0,125.0,88.0,,155.0,,,
3275,Mitsubishi,663.0,1790.0,Внедорожник,2810.0,700.0,261.0,178.0,88.0,13.6,175.0,15.9,10.0,12.2
3276,Mitsubishi,663.0,1790.0,Внедорожник,2810.0,710.0,261.0,178.0,88.0,12.6,175.0,15.8,10.0,12.2
3277,Mitsubishi,,,Внедорожник,2720.0,705.0,267.0,184.0,88.0,,175.0,,,
3278,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,655.0,441.0,200.0,88.0,11.1,185.0,11.4,8.0,8.9
3279,Mitsubishi,1081.0,1789.0,Внедорожник,3030.0,750.0,441.0,200.0,88.0,,,,,8.4
3280,Mitsubishi,1081.0,1789.0,Внедорожник,2720.0,620.0,306.0,189.0,88.0,,180.0,,,
3281,Mitsubishi,663.0,1790.0,Внедорожник,3030.0,870.0,329.0,250.0,88.0,10.8,200.0,17.7,11.2,13.5
3282,Mitsubishi,,,Внедорожник,,,98.0,80.0,35.0,,135.0,9.0,5.0,6.0
3283,Mitsubishi,,,Внедорожник,,,59.0,52.0,35.0,,,8.0,5.1,6.7
3284,Mitsubishi,,,Внедорожник,,,59.0,52.0,35.0,,113.0,8.0,5.5,7.1
3285,Mitsubishi,,,Внедорожник,,,59.0,52.0,35.0,,,7.0,3.8,6.0
3286,Mitsubishi,,,Внедорожник,,,59.0,52.0,35.0,,113.0,7.0,4.7,6.5
3287,Mitsubishi,,,Внедорожник,,,100.0,64.0,35.0,,,9.0,5.6,7.1
3288,Mitsubishi,,,Внедорожник,,,100.0,64.0,35.0,,130.0,9.0,4.7,6.9
3289,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.8
3290,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,4.5,6.3
3291,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.3
3292,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.8
3293,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,5.5
3294,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.1
3295,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,7.0
3296,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.8
3297,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.9
3298,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.3
3299,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.4
3300,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.7
3301,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.4
3302,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.5
3303,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.7
3304,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,5.5
3305,Mitsubishi,,,Внедорожник,,,62.0,52.0,43.0,,,,,6.3
3306,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,7.0
3307,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.9
3308,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.9
3309,Mitsubishi,,,Внедорожник,,,100.0,64.0,43.0,,,,,6.5
3310,Mitsubishi,166.0,801.0,Внедорожник,1680.0,,160.0,114.0,53.0,13.0,150.0,12.0,8.0,9.5
3311,Mitsubishi,165.0,800.0,Внедорожник,1690.0,,174.0,120.0,53.0,11.3,163.0,11.5,8.1,
3312,Mitsubishi,165.0,800.0,Внедорожник,1690.0,,174.0,120.0,53.0,10.2,168.0,11.1,7.7,
3313,Mitsubishi,166.0,801.0,Внедорожник,1680.0,,160.0,114.0,53.0,11.9,155.0,11.6,7.9,9.3
3314,Mitsubishi,166.0,801.0,Внедорожник,1725.0,,190.0,129.0,53.0,11.3,165.0,12.4,8.2,9.7
3315,Mitsubishi,166.0,801.0,Внедорожник,1725.0,,190.0,129.0,53.0,10.2,170.0,12.0,7.8,9.3
3316,Mitsubishi,358.0,1158.0,Внедорожник,1840.0,,160.0,114.0,53.0,12.0,155.0,11.0,8.0,9.0
3317,Mitsubishi,,,Внедорожник,1665.0,,220.0,160.0,53.0,,,7.0,,
3318,Mitsubishi,358.0,1158.0,Внедорожник,1840.0,,160.0,114.0,53.0,12.0,155.0,11.0,8.0,9.0
3319,Mitsubishi,358.0,1158.0,Внедорожник,1890.0,,190.0,129.0,53.0,10.0,170.0,12.0,8.0,9.0
3320,Mitsubishi,358.0,1158.0,Внедорожник,1890.0,,190.0,129.0,53.0,10.0,170.0,12.0,8.0,9.0
3321,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,590.0,240.0,115.0,74.0,18.5,150.0,9.8,7.3,8.2
3322,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,,280.0,133.0,74.0,18.0,151.0,13.8,8.8,
3323,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,,240.0,99.0,74.0,18.5,145.0,13.6,9.5,11.0
3324,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,,255.0,170.0,74.0,11.6,175.0,16.6,9.9,
3325,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,,255.0,177.0,74.0,14.4,175.0,16.3,10.3,
3326,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,,255.0,170.0,74.0,11.6,175.0,16.6,9.9,
3327,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,570.0,255.0,177.0,74.0,14.4,175.0,16.3,10.3,
3328,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,610.0,240.0,115.0,74.0,15.1,150.0,13.1,9.0,11.0
3329,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,680.0,240.0,99.0,74.0,12.0,145.0,13.6,9.5,11.0
3330,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,605.0,255.0,170.0,74.0,14.5,175.0,17.1,11.2,14.1
3331,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,570.0,255.0,177.0,74.0,14.4,175.0,16.3,10.3,
3332,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,615.0,255.0,170.0,74.0,11.6,175.0,16.6,9.9,13.2
3333,Mitsubishi,500.0,1720.0,Внедорожник,2510.0,570.0,255.0,177.0,74.0,14.4,175.0,16.3,10.3,
3334,Mitsubishi,714.0,1813.0,Внедорожник,2710.0,670.0,350.0,178.0,70.0,12.4,176.0,11.2,8.3,9.4
3335,Mitsubishi,714.0,1813.0,Внедорожник,2710.0,665.0,400.0,178.0,70.0,11.7,179.0,9.8,7.3,8.2
3336,Mitsubishi,500.0,500.0,Внедорожник,2510.0,,240.0,115.0,74.0,18.5,150.0,13.1,9.0,10.5
3337,Mitsubishi,714.0,1813.0,Внедорожник,2600.0,650.0,281.0,222.0,70.0,11.3,179.0,16.6,9.9,12.3
3338,Mitsubishi,290.0,500.0,Внедорожник,2510.0,,255.0,170.0,74.0,11.6,175.0,16.6,9.9,12.3
3339,Mitsubishi,,,Внедорожник,2710.0,,343.0,160.0,70.0,10.4,178.0,10.5,6.4,7.9
3340,Mitsubishi,,,Внедорожник,2710.0,,343.0,160.0,70.0,10.4,174.0,10.5,6.4,7.9
3341,Mitsubishi,714.0,1813.0,Внедорожник,2710.0,670.0,350.0,178.0,70.0,12.4,176.0,11.2,8.3,9.4
3342,Mitsubishi,714.0,1813.0,Внедорожник,2710.0,665.0,400.0,178.0,70.0,11.7,179.0,9.8,7.3,8.2
3343,Mitsubishi,714.0,1813.0,Внедорожник,2600.0,650.0,281.0,222.0,70.0,11.3,179.0,16.6,9.9,12.3
3344,Mitsubishi,,,Внедорожник,,,430.0,181.0,70.0,12.3,180.0,9.8,7.0,8.0
3345,Mitsubishi,,,Внедорожник,,,430.0,181.0,70.0,11.4,180.0,8.7,6.7,7.4
3346,Mitsubishi,,,Внедорожник,,,279.0,209.0,70.0,11.7,182.0,14.5,8.9,10.9
3347,Mitsubishi,505.0,505.0,Седан,,,343.0,241.0,80.0,,180.0,16.0,9.0,
3348,Mitsubishi,505.0,505.0,Седан,2150.0,,412.0,280.0,80.0,,180.0,17.0,10.0,
3369,Mitsubishi,447.0,892.0,Седан,2070.0,,278.0,195.0,72.0,9.0,220.0,,,10.3
3370,Mitsubishi,447.0,892.0,Седан,2070.0,,270.0,205.0,72.0,8.1,230.0,,,10.1
3371,Mitsubishi,447.0,892.0,Седан,2070.0,,278.0,195.0,72.0,9.0,220.0,,,10.3
3372,Mitsubishi,447.0,892.0,Седан,2070.0,,270.0,205.0,72.0,8.1,230.0,,,10.1
