,Марка,Объем багажника минимальный [л],Объем багажника максимальный [л],Тип кузова,Полная масса [кг],Грузоподъёмность [кг],Максимальный крутящий момент [Н*м],Мощность двигателя [л.с.],Объём топливного бака [л],Разгон до 100 км/ч [сек],Максимальная скорость [км/ч],Расход топлива в городе на 100 км [л],Расход топлива на шоссе на 100 км [л],Расход топлива в смешанном цикле на 100 км [л]
2934,Mitsubishi,,,Внедорожник,2350.0,,233.0,141.0,75.0,12.1,165.0,16.1,10.4,14.5
2935,Mitsubishi,,,Внедорожник,2510.0,,313.0,205.0,75.0,,185.0,18.2,11.1,13.7
2936,Mitsubishi,,,Внедорожник,2510.0,,313.0,205.0,75.0,,185.0,18.2,11.1,13.7
2937,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.2,145.0,12.3,8.3,10.7
2938,Mitsubishi,,,Внедорожник,2850.0,,240.0,99.0,92.0,21.5,145.0,13.8,9.3,11.2
2939,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,16.8,150.0,15.5,10.7,12.5
2940,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,17.3,150.0,15.5,10.7,12.5
2941,Mitsubishi,,,Внедорожник,2650.0,,233.0,141.0,92.0,,165.0,16.2,10.7,14.9
2942,Mitsubishi,,,Внедорожник,2650.0,,233.0,141.0,92.0,12.1,165.0,16.6,10.6,14.7
2943,Mitsubishi,,,Внедорожник,2720.0,,313.0,205.0,92.0,,185.0,18.2,11.1,13.7
2944,Mitsubishi,,,Внедорожник,2720.0,,313.0,205.0,92.0,,185.0,18.2,11.1,14.5
2945,Mitsubishi,,,Внедорожник,2350.0,,218.0,145.0,75.0,,,,,
2946,Mitsubishi,,,Внедорожник,2350.0,,218.0,145.0,75.0,,,,,
2947,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,21.5,145.0,13.3,8.8,10.4
2948,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,16.4,145.0,13.2,9.3,10.7
2949,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
2950,Mitsubishi,,,Внедорожник,2510.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
2951,Mitsubishi,,,Внедорожник,2350.0,,233.0,141.0,75.0,12.5,165.0,16.1,10.4,14.5
2952,Mitsubishi,,,Внедорожник,2510.0,,255.0,185.0,75.0,12.1,170.0,17.6,10.9,13.5
2953,Mitsubishi,,,Внедорожник,2350.0,,233.0,141.0,75.0,12.1,165.0,16.1,10.4,14.5
2954,Mitsubishi,,,Внедорожник,2510.0,,255.0,185.0,75.0,12.1,170.0,17.6,10.9,13.5
2955,Mitsubishi,,,Внедорожник,2510.0,,313.0,205.0,75.0,,185.0,18.2,11.1,13.7
2956,Mitsubishi,,,Внедорожник,2510.0,,313.0,205.0,75.0,,185.0,18.2,11.1,13.7
2957,Mitsubishi,,,Внедорожник,2650.0,,218.0,145.0,92.0,,,,,
2958,Mitsubishi,,,Внедорожник,2650.0,,218.0,145.0,92.0,,,,,
2959,Mitsubishi,,,Внедорожник,2850.0,,240.0,99.0,92.0,21.5,145.0,12.3,8.3,10.7
2960,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,13.8,9.3,11.2
2961,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,16.8,150.0,15.5,10.7,12.5
2962,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,17.3,150.0,15.5,10.7,12.5
2963,Mitsubishi,,,Внедорожник,2650.0,,255.0,141.0,92.0,12.1,170.0,16.2,10.7,14.9
2964,Mitsubishi,,,Внедорожник,2850.0,,255.0,185.0,92.0,12.1,170.0,16.2,10.7,14.9
2965,Mitsubishi,,,Внедорожник,2850.0,,255.0,141.0,92.0,12.1,170.0,16.6,10.6,14.7
2966,Mitsubishi,,,Внедорожник,2650.0,,255.0,185.0,92.0,,170.0,,,
2967,Mitsubishi,,,Внедорожник,2720.0,,313.0,205.0,92.0,,185.0,18.2,11.1,13.7
2968,Mitsubishi,,,Внедорожник,2720.0,,313.0,205.0,92.0,,185.0,18.2,11.1,14.5
2969,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,20.2,150.0,15.3,11.3,12.8
2970,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,15.0,155.0,13.9,9.6,11.2
2971,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,175.0,71.0,12.6,170.0,17.7,11.1,13.6
2972,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,175.0,71.0,10.9,175.0,17.6,10.9,13.5
2973,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,13.2,170.0,13.3,8.7,10.5
2974,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,11.5,170.0,12.4,7.9,9.5
2975,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,203.0,71.0,11.7,185.0,17.5,10.8,14.2
2976,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,11.7,185.0,17.5,10.8,14.2
2977,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,10.0,190.0,16.9,10.5,12.9
2978,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,203.0,71.0,10.0,190.0,18.8,10.9,
2979,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,20.2,150.0,15.3,11.3,12.8
2980,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,16.8,150.0,15.4,10.6,12.4
2981,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,177.0,90.0,12.6,170.0,17.7,11.1,13.6
2982,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,177.0,90.0,10.9,175.0,17.6,10.9,13.5
2983,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,13.8,170.0,13.3,8.8,10.5
2984,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,12.0,170.0,12.1,7.9,9.5
2985,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,203.0,90.0,12.5,185.0,19.5,11.1,14.2
2986,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,11.7,185.0,17.5,10.8,14.2
2987,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,10.7,190.0,17.1,10.7,13.1
2988,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,203.0,90.0,10.7,190.0,17.1,10.7,13.1
2989,Mitsubishi,415.0,1255.0,Внедорожник,2510.0,,294.0,125.0,71.0,20.2,150.0,15.3,11.3,12.8
2990,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,294.0,125.0,71.0,15.0,155.0,13.9,9.6,11.2
2991,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,175.0,71.0,12.6,170.0,17.7,11.1,13.6
2992,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,188.0,175.0,71.0,10.9,175.0,17.6,10.9,13.5
2993,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,13.2,170.0,13.3,8.7,10.5
2994,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,373.0,165.0,71.0,11.5,170.0,12.4,7.9,9.5
2995,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,203.0,71.0,11.7,185.0,17.5,10.8,14.2
2996,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,11.7,185.0,17.5,10.8,14.2
2997,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,348.0,220.0,71.0,10.0,190.0,16.9,10.5,12.9
2998,Mitsubishi,415.0,1253.0,Внедорожник,2510.0,,318.0,203.0,71.0,10.0,190.0,18.8,10.9,
2999,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,20.2,150.0,15.3,11.3,12.8
3000,Mitsubishi,215.0,1700.0,Внедорожник,2720.0,,294.0,125.0,90.0,16.8,150.0,15.4,10.6,12.4
3001,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,177.0,90.0,12.6,170.0,17.7,11.1,13.6
3002,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,188.0,177.0,90.0,10.9,175.0,17.6,10.9,13.5
3003,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,13.8,170.0,13.3,8.8,10.5
3004,Mitsubishi,215.0,1700.0,Внедорожник,2810.0,,373.0,165.0,90.0,12.0,170.0,12.0,7.0,9.0
3005,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,203.0,90.0,12.5,185.0,19.5,11.1,14.2
3006,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,11.7,185.0,17.5,10.8,14.2
3007,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,348.0,220.0,90.0,10.7,190.0,17.1,10.7,13.1
3008,Mitsubishi,215.0,1700.0,Внедорожник,2760.0,,318.0,203.0,90.0,10.7,190.0,17.1,10.7,13.1
3009,Mitsubishi,215.0,1700.0,Внедорожник,2780.0,,314.0,217.0,90.0,,,,,13.9
3010,Mitsubishi,290.0,1120.0,Внедорожник,2560.0,,188.0,175.0,69.0,,,,,
3011,Mitsubishi,290.0,1120.0,Внедорожник,2560.0,,188.0,175.0,69.0,,,,,
3012,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,373.0,170.0,69.0,13.2,177.0,13.1,9.0,10.5
3013,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,441.0,200.0,69.0,11.0,185.0,11.4,8.0,9.3
3014,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,373.0,170.0,69.0,12.1,177.0,11.9,7.6,9.2
3015,Mitsubishi,290.0,1120.0,Внедорожник,2530.0,,450.0,200.0,69.0,10.2,185.0,11.0,7.4,8.7
3016,Mitsubishi,290.0,1120.0,Внедорожник,2665.0,,329.0,247.0,69.0,10.0,200.0,17.6,11.2,13.4
3017,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,263.0,175.0,88.0,13.6,175.0,15.9,10.0,12.2
3018,Mitsubishi,663.0,1790.0,Внедорожник,2720.0,,263.0,175.0,88.0,12.6,175.0,15.8,10.0,12.2
3019,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,,373.0,170.0,88.0,11.1,185.0,11.4,8.0,9.3
3020,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,655.0,441.0,200.0,88.0,11.1,185.0,11.4,8.0,8.9
3021,Mitsubishi,663.0,1790.0,Внедорожник,2910.0,,373.0,170.0,88.0,10.2,185.0,11.0,7.4,8.7
3022,Mitsubishi,215.0,1789.0,Внедорожник,3030.0,750.0,441.0,200.0,88.0,10.5,180.0,9.6,7.2,8.1
3023,Mitsubishi,663.0,1790.0,Внедорожник,3030.0,870.0,329.0,247.0,88.0,10.8,200.0,17.7,11.2,13.5
3048,Mitsubishi,,,,,,,,,,,,,
3063,Mitsubishi,,,,,,,,,,,,,
3066,Mitsubishi,,,,,,,,,,,,,
3068,Mitsubishi,,,,,,,,,,,,,
3069,Mitsubishi,,,,,,,,,,,,,
3077,Mitsubishi,,,Внедорожник,2115.0,,157.0,92.0,60.0,,,,,
3078,Mitsubishi,,,Внедорожник,2115.0,,157.0,92.0,60.0,,,,,
3079,Mitsubishi,,,Внедорожник,2115.0,,186.0,145.0,60.0,,,,,
3080,Mitsubishi,,,Внедорожник,2115.0,,186.0,145.0,60.0,,,,,
3081,Mitsubishi,,,Внедорожник,2115.0,,147.0,75.0,60.0,,,,,
3082,Mitsubishi,,,Внедорожник,2115.0,,181.0,84.0,60.0,,135.0,13.7,8.6,10.2
3083,Mitsubishi,,,Внедорожник,2115.0,,201.0,84.0,60.0,,135.0,13.7,8.6,10.2
3084,Mitsubishi,,,Внедорожник,2115.0,,240.0,94.0,60.0,,,,,
3085,Mitsubishi,,,Внедорожник,2115.0,,201.0,84.0,60.0,,135.0,13.7,8.6,10.2
3086,Mitsubishi,,,Внедорожник,2115.0,,240.0,94.0,60.0,,,,,
3087,Mitsubishi,,,Внедорожник,2115.0,,198.0,114.0,60.0,,,,,
3088,Mitsubishi,,,Внедорожник,2115.0,,198.0,114.0,60.0,,,,,
3089,Mitsubishi,,,Внедорожник,2115.0,,233.0,141.0,60.0,,160.0,15.7,10.0,14.7
3090,Mitsubishi,,,Внедорожник,2115.0,,233.0,141.0,60.0,,160.0,15.7,10.0,14.7
3091,Mitsubishi,,,Внедорожник,2115.0,,157.0,92.0,60.0,,,,,
3092,Mitsubishi,,,Внедорожник,2115.0,,157.0,92.0,60.0,,,,,
3093,Mitsubishi,,,Внедорожник,2115.0,,186.0,145.0,60.0,,,,,
3094,Mitsubishi,,,Внедорожник,2115.0,,186.0,145.0,60.0,,,,,
3095,Mitsubishi,,,Внедорожник,2115.0,,147.0,75.0,60.0,,,,,
3096,Mitsubishi,,,Внедорожник,2115.0,,181.0,84.0,60.0,,135.0,13.7,8.6,10.2
3097,Mitsubishi,,,Внедорожник,2115.0,,201.0,84.0,60.0,,135.0,13.7,8.6,10.2
3098,Mitsubishi,,,Внедорожник,2115.0,,240.0,94.0,60.0,,,,,
3099,Mitsubishi,,,Внедорожник,2115.0,,201.0,84.0,60.0,,135.0,13.7,8.6,10.2
3100,Mitsubishi,,,Внедорожник,2115.0,,240.0,94.0,60.0,,,,,
3101,Mitsubishi,,,Внедорожник,2115.0,,198.0,114.0,60.0,,,,,
3102,Mitsubishi,,,Внедорожник,2115.0,,198.0,114.0,60.0,,,,,
3103,Mitsubishi,,,Внедорожник,2115.0,,233.0,141.0,60.0,,160.0,15.7,10.0,14.7
3104,Mitsubishi,,,Внедорожник,2115.0,,233.0,141.0,60.0,,160.0,15.7,10.0,14.7
3105,Mitsubishi,,,Внедорожник,2410.0,,157.0,92.0,92.0,,,,,
3106,Mitsubishi,,,Внедорожник,2410.0,,157.0,92.0,92.0,,,,,
3107,Mitsubishi,,,Внедорожник,2410.0,,186.0,145.0,92.0,,,,,
3108,Mitsubishi,,,Внедорожник,2410.0,,186.0,145.0,92.0,,,,,
3109,Mitsubishi,,,Внедорожник,2410.0,,147.0,75.0,92.0,,,,,
3110,Mitsubishi,,,Внедорожник,2410.0,,181.0,84.0,92.0,,130.0,14.6,9.5,11.0
3111,Mitsubishi,,,Внедорожник,2410.0,,201.0,84.0,92.0,,135.0,14.2,9.0,11.1
3112,Mitsubishi,,,Внедорожник,2410.0,,240.0,94.0,92.0,,,,,
3113,Mitsubishi,,,Внедорожник,2410.0,,201.0,84.0,92.0,,138.0,13.7,8.5,10.2
3114,Mitsubishi,,,Внедорожник,2410.0,,240.0,94.0,92.0,,,,,
3115,Mitsubishi,,,Внедорожник,2410.0,,198.0,114.0,92.0,,,,,
3116,Mitsubishi,,,Внедорожник,2410.0,,198.0,114.0,92.0,,,,,
3117,Mitsubishi,,,Внедорожник,2500.0,,233.0,141.0,92.0,,154.0,16.4,11.2,15.4
3118,Mitsubishi,,,Внедорожник,2500.0,,233.0,141.0,92.0,,158.0,16.1,10.2,14.9
3119,Mitsubishi,,,Внедорожник,2410.0,,157.0,92.0,92.0,,,,,
3120,Mitsubishi,,,Внедорожник,2410.0,,157.0,92.0,92.0,,,,,
3121,Mitsubishi,,,Внедорожник,2410.0,,186.0,145.0,92.0,,,,,
3122,Mitsubishi,,,Внедорожник,2410.0,,186.0,145.0,92.0,,,,,
3123,Mitsubishi,,,Внедорожник,2410.0,,147.0,75.0,92.0,,,,,
3124,Mitsubishi,,,Внедорожник,2410.0,,181.0,84.0,92.0,,130.0,14.6,9.5,11.0
3125,Mitsubishi,,,Внедорожник,2410.0,,201.0,84.0,92.0,,135.0,14.2,9.0,11.1
3126,Mitsubishi,,,Внедорожник,2410.0,,240.0,94.0,92.0,,,,,
3127,Mitsubishi,,,Внедорожник,2410.0,,201.0,84.0,92.0,,138.0,13.7,8.5,10.2
3128,Mitsubishi,,,Внедорожник,2410.0,,240.0,94.0,92.0,,,,,
3129,Mitsubishi,,,Внедорожник,2410.0,,198.0,114.0,92.0,,,,,
3130,Mitsubishi,,,Внедорожник,2410.0,,198.0,114.0,92.0,,,,,
3131,Mitsubishi,,,Внедорожник,2500.0,,233.0,141.0,92.0,,154.0,16.4,11.2,15.4
3132,Mitsubishi,,,Внедорожник,2500.0,,233.0,141.0,92.0,,158.0,16.1,10.2,14.9
3133,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,21.5,145.0,13.3,8.8,10.4
3134,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,21.5,145.0,13.3,8.8,10.4
3135,Mitsubishi,,,Внедорожник,2300.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3136,Mitsubishi,,,Внедорожник,2300.0,,292.0,125.0,75.0,16.8,155.0,14.1,9.6,11.3
3137,Mitsubishi,,,Внедорожник,2350.0,,236.0,150.0,75.0,12.5,165.0,16.1,10.4,14.5
3138,Mitsubishi,,,Внедорожник,2300.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3139,Mitsubishi,,,Внедорожник,2300.0,,236.0,150.0,75.0,12.1,165.0,16.1,10.4,14.5
3140,Mitsubishi,,,Внедорожник,2300.0,,255.0,177.0,75.0,12.1,170.0,17.6,10.9,13.5
3141,Mitsubishi,,,Внедорожник,2300.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3142,Mitsubishi,,,Внедорожник,2510.0,,313.0,194.0,75.0,,185.0,18.2,11.1,13.7
3143,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,12.3,8.3,10.7
3144,Mitsubishi,,,Внедорожник,2650.0,,240.0,99.0,92.0,21.5,145.0,13.8,9.3,11.2
3145,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,16.8,150.0,15.5,10.7,12.5
3146,Mitsubishi,,,Внедорожник,2720.0,,292.0,125.0,92.0,17.3,150.0,15.5,10.7,12.5
3147,Mitsubishi,,,Внедорожник,2650.0,,236.0,150.0,92.0,,165.0,16.2,10.7,14.9
3148,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.2,10.7,14.9
3149,Mitsubishi,,,Внедорожник,2650.0,,236.0,150.0,92.0,12.1,165.0,16.6,10.6,14.7
3150,Mitsubishi,,,Внедорожник,2650.0,,255.0,177.0,92.0,12.1,170.0,16.6,10.6,14.7
3151,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.6,11.3,14.0
3152,Mitsubishi,,,Внедорожник,2720.0,,313.0,194.0,92.0,,185.0,18.1,10.8,13.5
3153,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,21.5,145.0,13.3,8.8,10.4
3154,Mitsubishi,,,Внедорожник,2300.0,,240.0,99.0,75.0,16.4,145.0,13.2,9.3,10.7
